graph_family,num_trials,mean_OPT,mean_greedy_ratio,mean_random_greedy_ratio,mean_modern_ratio,mean_greedy_runtime,mean_modern_runtime,mean_hopcroft_runtime,modern_selected_case1_pct,modern_selected_case2_pct
er,500,361.666,0.919820658734984,0.8987085334299992,0.9195072487431362,0.00017145640042144804,0.4991694824000006,0.003375779000634793,100.0,0.0
powerlaw,500,172.118,0.8071872539802896,0.8046814294599783,0.785285441087965,0.00014883679954800754,4.099561718600046,0.003649193000106607,73.8,26.2
sqrtreg,100,380.0,0.94652,0.94805,0.95555,0.0002925699987099506,0.8097633700005826,0.005316922001657076,100.0,0.0
