graph_type,n_left,n_right,num_vertices,num_edges,density,average_degree,max_degree,degree_variance,degree_gini,param,trial,seed,optimal_size,greedy_size,random_greedy_size,modern_estimate,modern_mu1,modern_mu2,selected_case,M_size,Mprime_estimate,B1_estimate,B2_estimate,unmatched_num_vertices,copied_num_vertices,case1_copied_num_vertices,case2_copied_num_vertices,epsilon,k,sparsify_c,greedy_ratio,random_greedy_ratio,modern_ratio,modern_error,modern_relative_error,t_greedy,t_random_greedy,t_modern,t_hopcroft
er,100,100,200,87,0.0087,0.87,4,0.7830999999999999,0.5291379310344828,0.01,4,100050787,53,49,48,52.0,52.0,34.88894355212962,case1,52,0.0,0.0,42.76102182807894,96,960,960,1376,0.5,4,150,0.9245283018867925,0.9056603773584906,0.9811320754716981,-1.0,-0.018867924528301886,7.199996616691351e-06,6.699992809444666e-06,0.00867909999215044,0.00025019999884534627
er,100,100,200,444,0.0444,4.44,10,3.6164,0.23932432432432438,0.05,0,100050787,100,85,85,84.0,84.0,73.76683683641657,case1,84,0.0,0.0,237.17983481800056,32,320,320,992,0.5,4,150,0.85,0.85,0.84,-16.0,-0.16,2.989999484270811e-05,5.5500000598840415e-05,0.025627700000768527,0.0011553000076673925
er,100,100,200,447,0.0447,4.47,11,4.4491,0.26322147651006733,0.05,1,100060787,98,84,81,86.0,86.0,67.8986345312264,case1,86,0.0,0.0,169.19775195125922,28,280,280,968,0.5,4,150,0.8571428571428571,0.826530612244898,0.8775510204081632,-12.0,-0.12244897959183673,2.1899992134422064e-05,1.610000617802143e-05,0.02152330000535585,0.0005837999924551696
er,100,100,200,500,0.05,5.0,11,4.67,0.24008000000000007,0.05,2,100070787,100,87,84,83.0,83.0,75.83030097157123,case1,83,0.0,0.0,262.76326146973634,34,340,340,1004,0.5,4,150,0.87,0.84,0.83,-17.0,-0.17,2.339998900424689e-05,2.0499996026046574e-05,0.031608400007826276,0.0005708000098820776
er,100,100,200,506,0.0506,5.06,12,5.0364,0.24871541501976302,0.05,3,100080787,98,84,80,88.0,88.0,67.98527401074598,case1,88,0.0,0.0,158.7207082782469,24,240,240,944,0.5,4,150,0.8571428571428571,0.8163265306122449,0.8979591836734694,-10.0,-0.10204081632653061,2.8399997972883284e-05,2.1700005163438618e-05,0.02093559999775607,0.0009698000067146495
er,100,100,200,484,0.0484,4.84,11,4.8044,0.25421487603305803,0.05,4,100090787,99,85,83,87.0,87.0,67.3006885935161,case1,87,0.0,0.0,157.76662093222225,26,260,260,956,0.5,4,150,0.8585858585858586,0.8383838383838383,0.8787878787878788,-12.0,-0.12121212121212122,2.5899993488565087e-05,2.2100008209235966e-05,0.02352640000754036,0.000542300011147745
er,100,100,200,993,0.0993,9.93,22,8.5651,0.16346928499496483,0.1,0,100100787,100,93,91,94.0,94.0,64.03023316455186,case1,94,0.0,0.0,86.58632977880683,12,120,120,872,0.5,4,150,0.93,0.91,0.94,-6.0,-0.06,3.2800002372823656e-05,3.1799994758330286e-05,0.04600339999888092,0.0007259999983943999
er,100,100,200,980,0.098,9.8,17,7.36,0.1557653061224491,0.1,1,100110787,100,95,93,94.0,94.0,65.29421072050559,case1,94,0.0,0.0,98.79237681128163,12,120,120,872,0.5,4,150,0.95,0.93,0.94,-6.0,-0.06,4.259998968336731e-05,3.160000778734684e-05,0.04054040000482928,0.0007213000062620267
er,100,100,200,967,0.0967,9.67,17,8.7511,0.17113753877973115,0.1,2,100120787,100,92,92,94.0,94.0,65.59756533393448,case1,94,0.0,0.0,101.72182809907558,12,120,120,872,0.5,4,150,0.92,0.92,0.94,-6.0,-0.06,3.2100011594593525e-05,2.579999272711575e-05,0.024662499999976717,0.0006119000026956201
er,100,100,200,984,0.0984,9.84,17,8.5544,0.1676219512195123,0.1,3,100130787,100,94,87,94.0,94.0,65.44588802722004,case1,94,0.0,0.0,100.25710245517858,12,120,120,872,0.5,4,150,0.94,0.87,0.94,-6.0,-0.06,3.720000677276403e-05,3.070000093430281e-05,0.030056999996304512,0.0007372999971266836
