graph_type,n_left,n_right,num_vertices,num_edges,density,expected_average_degree,average_degree,max_degree,degree_variance,degree_gini,param,trial,seed,optimal_size,greedy_size,random_greedy_size,modern_estimate,modern_mu1,modern_mu2,selected_case,M_size,Mprime_estimate,B1_estimate,B2_estimate,unmatched_num_vertices,copied_num_vertices,case1_copied_num_vertices,case2_copied_num_vertices,epsilon,k,sparsify_c,greedy_ratio,random_greedy_ratio,modern_ratio,modern_error,modern_relative_error,t_greedy,t_random_greedy,t_modern,t_modern_sparsify,t_modern_case1,t_modern_case2,t_modern_other,t_hopcroft
er,20,20,40,79,0.1975,4.0,3.95,8,4.0475,0.2841772151898736,0.2,0,20740787,20,17,17,17.0,17.0,12.90151207189427,case1,17,0.0,0.0,14.210749717489492,6,30,30,98,0.7,2,47,0.85,0.85,0.85,-3.0,-0.15,6.599992047995329e-06,4.699992132373154e-06,0.0020488000009208918,9.57000011112541e-05,0.0002705999941099435,0.0016285000019706786,5.400000372901559e-05,0.0004726999904960394
powerlaw,20,20,40,80,0.2,4.0,4.0,16,13.2,0.4575,0.2,0,20740787,17,14,14,14.0,14.0,11.572767786303597,case1,14,0.0,0.0,16.280286141330553,12,60,60,116,0.7,2,47,0.8235294117647058,0.8235294117647058,0.8235294117647058,-3.0,-0.17647058823529413,4.0000013541430235e-06,3.1999952625483274e-06,0.001916299996082671,0.00010869999823626131,0.00027299999783281237,0.00150680000660941,2.7799993404187262e-05,8.859999070409685e-05
sqrtreg,20,20,40,100,0.25,0.0,5.0,9,1.75,0.12775000000000003,0.0,0,20700787,20,19,16,19.0,19.0,11.982815182060012,case1,19,0.0,0.0,4.118034485701413,2,10,10,86,0.7,2,47,0.95,0.8,0.95,-1.0,-0.05,5.49999822396785e-06,4.1000021155923605e-06,0.0013921999925514683,4.2100000428035855e-05,0.00021309999283403158,0.0011105000012321398,2.649999805726111e-05,0.0001221999991685152
er,20,20,40,86,0.215,4.0,4.3,10,2.96,0.21656976744186052,0.2,0,20540787,20,17,16,17.0,17.0,14.773480860659975,case1,17,0.0,0.0,46.49882918768817,6,60,60,196,0.5,4,47,0.85,0.8,0.85,-3.0,-0.15,3.899986040778458e-06,3.2999960239976645e-06,0.004811899998458102,8.090000483207405e-05,0.00026369999977760017,0.004443500001798384,2.379999205004424e-05,9.90999978967011e-05
powerlaw,20,20,40,80,0.2,4.0,4.0,18,13.4,0.433125,0.2,0,20540787,16,12,14,14.0,14.0,11.537571149639536,case1,14,0.0,0.0,32.22068349232393,12,120,120,232,0.5,4,47,0.75,0.875,0.875,-2.0,-0.125,4.2000028770416975e-06,3.300010575912893e-06,0.008325399991008453,0.00012909999350085855,0.00032839999767020345,0.007839600002625957,2.8299997211433947e-05,0.0001247000036528334
sqrtreg,20,20,40,100,0.25,0.0,5.0,10,2.55,0.15825,0.0,0,20500787,20,19,18,19.0,19.0,12.455784521751022,case1,19,0.0,0.0,12.803464949277572,2,20,20,172,0.5,4,47,0.95,0.9,0.95,-1.0,-0.05,5.800000508315861e-06,3.3999967854470015e-06,0.002336199991987087,4.430000262800604e-05,0.00023689999943599105,0.002023599998210557,3.139999171253294e-05,0.0002305000089108944
