graph_type,n_left,n_right,num_vertices,num_edges,density,average_degree,max_degree,degree_variance,degree_gini,param,trial,seed,optimal_size,greedy_size,random_greedy_size,modern_estimate,modern_mu1,modern_mu2,selected_case,M_size,Mprime_estimate,B1_estimate,B2_estimate,unmatched_num_vertices,copied_num_vertices,case1_copied_num_vertices,case2_copied_num_vertices,epsilon,k,sparsify_c,greedy_ratio,random_greedy_ratio,modern_ratio,modern_error,modern_relative_error,t_greedy,t_random_greedy,t_modern,t_modern_sparsify,t_modern_case1,t_modern_case2,t_modern_other,t_hopcroft
er,20,20,40,20,0.05,1.0,2,0.45,0.3487500000000001,0.05,0,20050787,13,12,12,13.0,13.0,9.16965363296692,case1,13,0.0,0.0,7.505451704244459,14,70,70,122,0.7,2,47,0.9230769230769231,0.9230769230769231,1.0,0.0,0.0,5.099995178170502e-06,2.5999906938523054e-06,0.0017600999999558553,9.220000356435776e-05,0.00034830000367946923,0.0012895999971078709,2.9999995604157448e-05,0.00044409999100025743
powerlaw,20,20,40,20,0.05,1.0,6,2.55,0.7312500000000002,0.05,0,20050787,6,4,5,5.0,5.0,3.0884773871389744,case1,5,0.0,0.0,0.7703523664961143,30,150,150,170,0.7,2,47,0.6666666666666666,0.8333333333333334,0.8333333333333334,-1.0,-0.16666666666666666,1.8999999156221747e-06,1.6999983927235007e-06,0.0015959999873302877,8.709999383427203e-05,0.0002965000021504238,0.0011937999952351674,1.85999961104244e-05,9.240000508725643e-05
sqrtreg,20,20,40,100,0.25,5.0,7,0.75,0.08425000000000016,0.0,0,20000787,20,18,18,18.0,18.0,13.680003825790779,case1,18,0.0,0.0,15.141213293648434,4,20,20,92,0.7,2,47,0.9,0.9,0.9,-2.0,-0.1,4.7000066842883825e-06,3.9000005926936865e-06,0.002118400007020682,6.130000110715628e-05,0.0002474999928381294,0.001782499995897524,2.710001717787236e-05,9.809999028220773e-05
er,20,20,40,20,0.05,1.0,2,0.45,0.3487500000000001,0.05,0,20050787,13,12,12,13.0,13.0,9.64742346096358,case1,13,0.0,0.0,19.624657002257702,14,140,140,244,0.5,4,47,0.9230769230769231,0.9230769230769231,1.0,0.0,0.0,5.199995939619839e-06,2.7999922167509794e-06,0.003035500005353242,8.439998782705516e-05,0.000378099997760728,0.002544800008763559,2.820001100189984e-05,0.00043820000428240746
powerlaw,20,20,40,20,0.05,1.0,6,2.55,0.7312500000000002,0.05,0,20050787,6,4,5,5.0,5.0,4.232829305577105,case1,5,0.0,0.0,12.591544419476246,30,300,300,340,0.5,4,47,0.6666666666666666,0.8333333333333334,0.8333333333333334,-1.0,-0.16666666666666666,1.8999999156221747e-06,1.6999983927235007e-06,0.0026050000014947727,8.489999163430184e-05,0.00035940000088885427,0.0021447000035550445,1.6000005416572094e-05,8.890000754036009e-05
sqrtreg,20,20,40,100,0.25,5.0,7,0.75,0.08425000000000016,0.0,0,20000787,20,18,18,18.0,18.0,14.05216291106317,case1,18,0.0,0.0,33.87631263139677,4,40,40,184,0.5,4,47,0.9,0.9,0.9,-2.0,-0.1,4.5000051613897085e-06,3.6999990697950125e-06,0.0048097999970195815,6.569999095518142e-05,0.0002767000114545226,0.004440499993506819,2.6900001103058457e-05,8.81000014487654e-05
