graph_type,n_left,n_right,num_vertices,num_edges,density,expected_average_degree,average_degree,max_degree,degree_variance,degree_gini,param,trial,seed,optimal_size,greedy_size,random_greedy_size,modern_estimate,modern_mu1,modern_mu2,selected_case,M_size,Mprime_estimate,B1_estimate,B2_estimate,unmatched_num_vertices,copied_num_vertices,case1_copied_num_vertices,case2_copied_num_vertices,epsilon,k,sparsify_c,greedy_ratio,random_greedy_ratio,modern_ratio,modern_error,modern_relative_error,t_greedy,t_random_greedy,t_modern,t_modern_sparsify,t_modern_case1,t_modern_case2,t_modern_other,t_hopcroft
er,20,20,40,44,0.11,2.0,2.2,6,1.86,0.34318181818181825,0.1,0,20320787,16,14,12,13.0,13.0,11.886770740726146,case1,13,0.0,0.0,164.99882918768816,14,546,546,962,0.3,16,47,0.875,0.75,0.8125,-3.0,-0.1875,5.4000120144337416e-06,3.4999975468963385e-06,0.02064710001286585,0.00014319999900180846,0.0004982999962521717,0.019974499999079853,3.110001853201538e-05,0.0004667000030167401
powerlaw,20,20,40,40,0.1,2.0,2.0,10,5.8,0.5887500000000001,0.1,0,20320787,11,10,9,9.0,9.0,8.913903792124,case1,9,0.0,0.0,140.6743258764299,22,858,858,1146,0.3,16,47,0.9090909090909091,0.8181818181818182,0.8181818181818182,-2.0,-0.18181818181818182,3.100009053014219e-06,2.1000014385208488e-06,0.025768699997570366,0.0001188000023830682,0.00039739999920129776,0.02522710000630468,2.5399989681318402e-05,0.00012399999832268804
sqrtreg,20,20,40,100,0.25,5.0,5.0,8,1.25,0.10825000000000018,0.0,0,20300787,20,18,19,18.0,18.0,14.388373746652501,case1,18,0.0,0.0,148.49220667113187,4,156,156,732,0.3,16,47,0.9,0.95,0.9,-2.0,-0.1,4.8000074457377195e-06,4.0000013541430235e-06,0.04004599999461789,6.510000093840063e-05,0.00042940001003444195,0.039518899997347035,3.259998629800975e-05,0.00012569999671541154
