graph_type,n_left,n_right,num_vertices,num_edges,density,expected_average_degree,average_degree,max_degree,degree_variance,degree_gini,param,trial,seed,optimal_size,greedy_size,random_greedy_size,modern_estimate,modern_mu1,modern_mu2,selected_case,M_size,Mprime_estimate,B1_estimate,B2_estimate,unmatched_num_vertices,copied_num_vertices,case1_copied_num_vertices,case2_copied_num_vertices,epsilon,k,sparsify_c,greedy_ratio,random_greedy_ratio,modern_ratio,modern_error,modern_relative_error,t_greedy,t_random_greedy,t_modern,t_modern_sparsify,t_modern_case1,t_modern_case2,t_modern_other,t_hopcroft
er,50,50,100,389,0.1556,8.0,7.78,16,6.611599999999999,0.17917737789203092,0.16,0,50780787,50,48,46,45.0,45.0,34.4759310602184,case1,45,0.0,0.0,39.185300068459654,10,50,50,230,0.7,2,93,0.96,0.92,0.9,-5.0,-0.1,1.789999078027904e-05,1.4299992471933365e-05,0.006055899983039126,0.00026699999580159783,0.0004938000056426972,0.005187599977944046,0.00010750000365078449,0.0002764000091701746
er,50,50,100,392,0.1568,8.0,7.84,16,6.6944,0.1808163265306122,0.16,1,50790787,50,47,45,45.0,45.0,33.74434225978128,case1,45,0.0,0.0,35.652876860268535,10,50,50,230,0.7,2,93,0.94,0.9,0.9,-5.0,-0.1,1.4299992471933365e-05,1.1600001016631722e-05,0.005247399996733293,0.00024400002439506352,0.00045429999590851367,0.004465199977857992,8.38999985717237e-05,0.00026160001289099455
er,50,50,100,396,0.1584,8.0,7.92,15,8.2136,0.20257575757575763,0.16,2,50800787,50,44,46,46.0,46.0,32.77258674401379,case1,46,0.0,0.0,28.132399044568878,8,40,40,224,0.7,2,93,0.88,0.92,0.92,-4.0,-0.08,1.7299986211583018e-05,1.279998105019331e-05,0.008185499988030642,0.00020520001999102533,0.00044239999260753393,0.007434600003762171,0.00010329997166991234,0.0004571000172290951
er,50,50,100,403,0.1612,8.0,8.06,13,5.1964,0.160272952853598,0.16,3,50810787,50,48,46,48.0,48.0,30.40213886661985,case1,48,0.0,0.0,11.030009966070581,4,20,20,212,0.7,2,93,0.96,0.92,0.96,-2.0,-0.04,1.7999991541728377e-05,1.3400014722719789e-05,0.004497299989452586,0.00021699999342672527,0.00040499999886378646,0.0037837999989278615,9.14999982342124e-05,0.0002572000084910542
er,50,50,100,413,0.1652,8.0,8.26,17,8.8324,0.20200968523002416,0.16,4,50820787,50,46,44,44.0,44.0,35.28652498516496,case1,44,0.0,0.0,45.92762088757229,12,60,60,236,0.7,2,93,0.92,0.88,0.88,-6.0,-0.12,1.5799974789842963e-05,1.2800010154023767e-05,0.008310100005473942,0.0002705999941099435,0.0004579999949783087,0.0074650000024121255,0.00011650001397356391,0.00028810001094825566
er,50,50,100,402,0.1608,8.0,8.04,16,6.1584,0.17084577114427857,0.16,5,50830787,50,48,44,48.0,48.0,29.877656847369277,case1,48,0.0,0.0,8.497586757879455,4,20,20,212,0.7,2,93,0.96,0.88,0.96,-2.0,-0.04,1.4099990949034691e-05,1.1599971912801266e-05,0.0040763000142760575,0.0001233000075444579,0.0003878000134136528,0.003480099985608831,8.510000770911574e-05,0.00033549999352544546
er,50,50,100,378,0.1512,8.0,7.56,15,6.7863999999999995,0.19248677248677248,0.16,6,50840787,50,47,46,46.0,46.0,31.901748674314724,case1,46,0.0,0.0,23.92762088757229,8,40,40,224,0.7,2,93,0.94,0.92,0.92,-4.0,-0.08,1.920000067912042e-05,1.309998333454132e-05,0.007590399996843189,0.0001917000045068562,0.0004616999940481037,0.006820900016464293,0.0001160999818239361,0.0003397999971639365
er,50,50,100,413,0.1652,8.0,8.26,18,7.5524000000000004,0.1823486682808717,0.16,7,50850787,50,47,43,48.0,48.0,30.214823859744648,case1,48,0.0,0.0,10.125573106002323,4,20,20,212,0.7,2,93,0.94,0.86,0.96,-2.0,-0.04,2.2499996703118086e-05,1.689998316578567e-05,0.0032284999906551093,0.00022149999858811498,0.0005223000189289451,0.00232759999926202,0.00015709997387602925,0.00024900000425986946
er,50,50,100,389,0.1556,8.0,7.78,14,5.0716,0.1603084832904884,0.16,8,50860787,50,45,45,47.0,47.0,31.52409981242878,case1,47,0.0,0.0,19.27574375446649,6,30,30,218,0.7,2,93,0.9,0.9,0.94,-3.0,-0.06,1.9400002202019095e-05,1.3600016245618463e-05,0.00520489999325946,0.0001951000012923032,0.0005243000050541013,0.004368299996713176,0.00011719999019987881,0.00024629998370073736
er,50,50,100,376,0.1504,8.0,7.52,14,6.0296,0.18079787234042555,0.16,9,50870787,50,45,47,46.0,46.0,32.178833514673514,case1,46,0.0,0.0,25.265504846616658,8,40,40,224,0.7,2,93,0.9,0.94,0.92,-4.0,-0.08,1.689998316578567e-05,1.1800002539530396e-05,0.007486699993023649,0.0001871999993454665,0.0004447000101208687,0.006666599976597354,0.00018820000695995986,0.0002749999985098839
