graph_type,n_left,n_right,num_vertices,num_edges,density,expected_average_degree,average_degree,max_degree,degree_variance,degree_gini,param,trial,seed,optimal_size,greedy_size,random_greedy_size,modern_estimate,modern_mu1,modern_mu2,selected_case,M_size,Mprime_estimate,B1_estimate,B2_estimate,unmatched_num_vertices,copied_num_vertices,case1_copied_num_vertices,case2_copied_num_vertices,epsilon,k,sparsify_c,greedy_ratio,random_greedy_ratio,modern_ratio,modern_error,modern_relative_error,t_greedy,t_random_greedy,t_modern,t_modern_sparsify,t_modern_case1,t_modern_case2,t_modern_other,t_hopcroft
er,50,50,100,97,0.0388,2.0,1.94,5,1.6164,0.3563917525773195,0.04,12,50440787,41,36,33,35.0,35.0,31.248733622134743,case1,35,0.0,0.0,415.09826935173606,30,1170,1170,2290,0.3,16,93,0.8780487804878049,0.8048780487804879,0.8536585365853658,-6.0,-0.14634146341463414,7.399998139590025e-06,6.300018867477775e-06,0.04621569998562336,0.0004393999988678843,0.0008343000081367791,0.04490410001017153,3.78999684471637e-05,0.00020169999334029853
er,50,50,100,93,0.0372,2.0,1.86,6,1.6004,0.37473118279569895,0.04,13,50450787,39,37,33,36.0,36.0,29.729435135798553,case1,36,0.0,0.0,333.78427617767466,28,1092,1092,2244,0.3,16,93,0.9487179487179487,0.8461538461538461,0.9230769230769231,-3.0,-0.07692307692307693,8.200004231184721e-06,5.399982910603285e-06,0.03101149998838082,0.00027409999165683985,0.0007419000030495226,0.02995349999400787,4.199999966658652e-05,0.00016640001558698714
er,50,50,100,97,0.0388,2.0,1.94,6,2.1764,0.4176288659793814,0.04,14,50460787,37,34,32,33.0,33.0,27.94199055884189,case1,33,0.0,0.0,332.62216013671906,34,1326,1326,2382,0.3,16,93,0.918918918918919,0.8648648648648649,0.8918918918918919,-4.0,-0.10810810810810811,1.09999964479357e-05,6.199989002197981e-06,0.040643999993335456,0.00037999998312443495,0.0007874000002630055,0.03942730001290329,4.9299997044727206e-05,0.00017419998766854405
er,50,50,100,97,0.0388,2.0,1.94,6,1.9564000000000001,0.39463917525773184,0.04,15,50470787,38,33,33,34.0,34.0,29.3364565249713,case1,34,0.0,0.0,363.85936150190673,32,1248,1248,2336,0.3,16,93,0.868421052631579,0.868421052631579,0.8947368421052632,-4.0,-0.10526315789473684,7.299997378140688e-06,5.900015821680427e-06,0.034007999987807125,0.00035360001493245363,0.0007766000053379685,0.032837999984622,3.9799982914701104e-05,0.00019719998817890882
er,50,50,100,107,0.0428,2.0,2.14,6,1.5604,0.31915887850467284,0.04,16,50480787,43,38,38,38.0,38.0,30.677820413237846,case1,38,0.0,0.0,325.1631157681183,24,936,936,2152,0.3,16,93,0.8837209302325582,0.8837209302325582,0.8837209302325582,-5.0,-0.11627906976744186,1.0899995686486363e-05,6.700021913275123e-06,0.0448212000192143,0.0004813999985344708,0.001129300013417378,0.04315719997975975,5.3300027502700686e-05,0.00018909998470917344
er,50,50,100,83,0.0332,2.0,1.66,6,1.8443999999999998,0.44253012048192764,0.04,17,50490787,33,30,29,28.0,28.0,24.94851421385721,case1,28,0.0,0.0,330.1289860752856,44,1716,1716,2612,0.3,16,93,0.9090909090909091,0.8787878787878788,0.8484848484848485,-5.0,-0.15151515151515152,7.800001185387373e-06,4.8000074457377195e-06,0.06116479999036528,0.0005966000026091933,0.0010591000027488917,0.05946579997544177,4.33000095654279e-05,0.0003858999989461154
er,50,50,100,92,0.0368,2.0,1.84,6,1.8344,0.40119565217391306,0.04,18,50500787,38,33,33,36.0,36.0,26.904070996719103,case1,36,0.0,0.0,224.6477574063436,28,1092,1092,2244,0.3,16,93,0.868421052631579,0.868421052631579,0.9473684210526315,-2.0,-0.05263157894736842,8.000002708286047e-06,5.5000127758830786e-06,0.02667190000647679,0.00023040000814944506,0.000750300008803606,0.02565080000204034,4.0399987483397126e-05,0.00017559999832883477
er,50,50,100,104,0.0416,2.0,2.08,7,1.9736,0.36788461538461537,0.04,19,50510787,41,38,35,37.0,37.0,28.772876875305844,case1,37,0.0,0.0,274.2074843688009,26,1014,1014,2198,0.3,16,93,0.926829268292683,0.8536585365853658,0.9024390243902439,-4.0,-0.0975609756097561,7.399998139590025e-06,6.299989763647318e-06,0.03532170000835322,0.0003386999887879938,0.0007105999975465238,0.03423089999705553,4.150002496317029e-05,0.00016200001118704677
er,50,50,100,176,0.0704,4.0,3.52,9,3.4096,0.2925568181818181,0.08,0,50340787,47,41,37,39.0,39.0,34.613143762721165,case1,39,0.0,0.0,454.547074812487,22,858,858,2106,0.3,16,93,0.8723404255319149,0.7872340425531915,0.8297872340425532,-8.0,-0.1702127659574468,1.0399991879239678e-05,8.500006515532732e-06,0.053083700011484325,0.0006422000005841255,0.0011519999825395644,0.051231699995696545,5.7800032664090395e-05,0.00034950001281686127
er,50,50,100,202,0.0808,4.0,4.04,9,3.5584,0.2567821782178217,0.08,1,50350787,49,41,40,41.0,41.0,35.25837913988271,case1,41,0.0,0.0,434.21601679200916,18,702,702,2014,0.3,16,93,0.8367346938775511,0.8163265306122449,0.8367346938775511,-8.0,-0.16326530612244897,1.1600001016631722e-05,8.600007276982069e-06,0.07246279998798855,0.00036619999445974827,0.0015284999972209334,0.07050189998699352,6.620000931434333e-05,0.0002429000160191208
er,50,50,100,165,0.066,4.0,3.3,7,2.57,0.2721212121212122,0.08,2,50360787,48,42,38,42.0,42.0,34.016032959702336,case1,42,0.0,0.0,363.5999758363777,16,624,624,1968,0.3,16,93,0.875,0.7916666666666666,0.875,-6.0,-0.125,9.599985787644982e-06,7.399998139590025e-06,0.04706460001762025,0.00045429999590851367,0.0007894000154919922,0.045766199997160584,5.470000905916095e-05,0.0002798000059556216
er,50,50,100,192,0.0768,4.0,3.84,10,4.4144,0.30328124999999995,0.08,3,50370787,49,43,41,43.0,43.0,34.37523008830497,case1,43,0.0,0.0,354.8474161094153,14,546,546,1922,0.3,16,93,0.8775510204081632,0.8367346938775511,0.8775510204081632,-6.0,-0.12244897959183673,1.1900003300979733e-05,7.90000194683671e-06,0.05187840000144206,0.00032130000181496143,0.0007721000001765788,0.050713000004179776,7.199999527074397e-05,0.00031590001890435815
er,50,50,100,195,0.078,4.0,3.9,8,3.0300000000000002,0.2509230769230768,0.08,4,50380787,49,42,41,42.0,42.0,34.62463001977612,case1,42,0.0,0.0,387.10850825958596,16,624,624,1968,0.3,16,93,0.8571428571428571,0.8367346938775511,0.8571428571428571,-7.0,-0.14285714285714285,1.1600001016631722e-05,8.500006515532732e-06,0.05214379998506047,0.0003698999935295433,0.0013761000009253621,0.05033589998492971,6.19000056758523e-05,0.00021840000408701599
