graph_family,num_trials,mean_OPT,mean_greedy_ratio,mean_random_greedy_ratio,mean_modern_ratio,mean_greedy_runtime,mean_modern_runtime,mean_hopcroft_runtime,modern_selected_case1_pct,modern_selected_case2_pct
er,1,13.0,0.9230769230769231,0.9230769230769231,1.0,5.1000097300857306e-06,0.0030097999988356605,0.0004487999976845458,100.0,0.0
powerlaw,1,6.0,0.6666666666666666,0.8333333333333334,0.8333333333333334,1.7999991541728377e-06,0.002741600008448586,9.270000737160444e-05,100.0,0.0
sqrtreg,1,20.0,0.9,0.9,0.9,4.5000051613897085e-06,0.005453599995234981,0.00010429999383632094,100.0,0.0
