graph_family,n,num_trials,average_edges,mean_greedy_ratio,mean_modern_ratio,mean_greedy_runtime,mean_modern_runtime,mean_hopcroft_runtime
er,50,210,462.0095238095238,0.9180412053680994,0.9170798608742897,1.8270476166868494e-05,7.304253630952527,0.000359424285679346
er,100,210,934.2142857142857,0.9146242335855731,0.9130976914333991,3.621952380940673e-05,15.808552154286216,0.000676322856452316
er,250,210,2330.890476190476,0.9074964937303168,0.9088249808571367,0.0001489966672601267,60.90195839285817,0.0019053176192322834
powerlaw,50,210,466.6666666666667,0.7937231788868527,0.7731708557448785,1.8803810512292244e-05,245.35949414762007,0.00039028523730978904
powerlaw,100,204,913.7254901960785,0.7766055002481898,0.7527418788011502,3.2913235390522315e-05,617.2192504627444,0.0008122230397466588
powerlaw,250,180,2333.3333333333335,0.7918269168412873,0.7655586315131179,7.998944476841845e-05,3.5722615333341916,0.0018392405548689162
sqrtreg,50,60,400.0,0.9173333333333333,0.9313333333333333,1.7476667320200553e-05,0.19549137166856478,0.0003868616671146204
sqrtreg,100,60,1000.0,0.9255,0.9418333333333333,3.349000083593031e-05,0.3578417166689178,0.0006590783324403067
sqrtreg,250,60,4000.0,0.9521999999999999,0.9607333333333333,0.0001167883305849197,9.213386446663936,0.002435161668108776
