graph_family,epsilon,derived_or_effective_k,num_trials,mean_modern_ratio,mean_modern_runtime,mean_copied_vertex_count,modern_selected_case1_pct,modern_selected_case2_pct
er,0.1,415,90,0.9113596143483812,194.23899995666773,26549.088888888888,98.88888888888889,1.1111111111111112
er,0.2,52,90,0.9136001493798404,1.4047491633333267,3290.266666666667,98.88888888888889,1.1111111111111112
er,0.3,16,90,0.9101934736276606,0.24332047999907647,1018.3333333333334,100.0,0.0
er,0.4,7,90,0.9185449142948066,0.07243986888950328,423.1111111111111,100.0,0.0
er,0.5,4,90,0.9152009464005132,0.038741592223070456,255.15555555555557,98.88888888888889,1.1111111111111112
er,0.6,2,90,0.9118349575599605,0.01761932222450721,133.44444444444446,100.0,0.0
er,0.7,2,90,0.9102718551067642,0.01857936555558505,133.0,100.0,0.0
powerlaw,0.1,415,54,0.7720679500108847,3259.302785949998,83704.14814814815,59.25925925925926,40.74074074074074
powerlaw,0.2,52,90,0.7694676444957141,21.47389409000041,20444.266666666666,67.77777777777777,32.22222222222222
powerlaw,0.3,16,90,0.7673082308684348,1.0189389333342358,6435.4,58.888888888888886,41.111111111111114
powerlaw,0.4,7,90,0.7668099166211375,0.3184475088896256,2691.911111111111,74.44444444444444,25.555555555555557
powerlaw,0.5,4,90,0.7584853500606848,0.15693983666585862,1561.4222222222222,81.11111111111111,18.88888888888889
powerlaw,0.6,2,90,0.7585050614271319,0.06619928333481463,751.1333333333333,95.55555555555556,4.444444444444445
powerlaw,0.7,2,90,0.757580544900592,0.06421923777864626,760.4666666666667,93.33333333333333,6.666666666666667
sqrtreg,0.2,52,30,0.9441999999999999,2.585858826667148,1587.6,100.0,0.0
sqrtreg,0.3,16,30,0.9426666666666667,16.76832982666577,507.0,100.0,0.0
sqrtreg,0.4,7,30,0.9422666666666667,0.09611217666727802,222.13333333333333,100.0,0.0
sqrtreg,0.5,4,30,0.9452666666666667,0.046381950002008426,130.0,100.0,0.0
sqrtreg,0.6,2,30,0.9521333333333333,0.017077766664442606,55.666666666666664,100.0,0.0
sqrtreg,0.7,2,30,0.9412666666666667,0.019678523336187935,67.33333333333333,100.0,0.0
